Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Denmark,DNK,0,0,8,1,14,8,0,1,562,0,0,7629,752,0,11,3,7,0,0,1918,0,4,8,14,5,56,13,683,0,6,5,22,0,86,11418,3,0,0,11,97,2,111,2,112,0,0,22,46,516,4,0,6,0,4,0,43,7,78,2,0,2,0,3,0,0,3,474,3324,0,8,0,1,0,13114,3,4,456,8275,0,5,0,12,14,0,0,0,2,1,158,1677,40,41,2,1,394,68693,0,21,29,0,23,0,0,39,134,0,3,0,0,0,5,2,10,0,701,1,98,0,6,4,0,0,0,0,1,0,0,0,21,7,0,53,0,0,0,23,13,34,0,5,960,0,8,1437,40,133,1294,0,0,0,17221,1,35,0,17,0,2,88,116,250,121,3,8,82,0,1,0,0,0,0,0,16,2,0,540,3,0,3,2,150,0,4,1243,200,54,49,0,0,43360,2615,11,0,0,110,150,0,155,0,2,5,3,30,0,0,0,81,0,21,9709,46154,9,0,0,216,0,4,0,0,6,55,185
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,1369,0,0,0,0,3162,16,18,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,66,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,2,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,43,214,0,0,0,0,0,0,0,0,0,1,0
Dominica,DMA,0,0,0,0,0,0,50,1913,0,0,96,0,0,0,39,0,0,634,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,351,0,2,0,0,1,0,158,0,2,0,0,0,0,0,173,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,1,5,58,0,0,0,0,6,0,0,1,0,43,3096,0,0,0,0,59,49,0,0,7,0,0,0,0,0,0,12,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,229,0,2,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,47,0,0,0,0,0,0,2,0,0,195,0,0,0,40,0,0,0,0,128,3456,1,0,0,223,0,2902,187,0,0,0,0
Dominican Republic,DOM,0,0,0,0,3,0,87,537,6,0,937,4,13,0,56,0,0,105,0,72,12,0,144,0,46,2,0,168,0,0,0,0,0,10,9585,0,7,0,2,89,0,100,0,12,0,0,82,0,3,287,0,0,13,0,29,0,64,0,31,0,0,0,0,0,0,0,69,312,19,0,0,0,0,224,0,0,52,4,13,112,0,57,2,1,91,7030,54,0,7,0,0,15,0,0,26,548,284,5,0,0,94,0,0,2,0,0,0,0,0,0,40,0,3,0,10,0,4,0,0,0,0,0,0,0,344,0,0,0,8,0,0,14,0,2,0,0,16,0,0,0,1019,2122,0,4,47,1,19,0,0,0,10,0,1,0,247,0,51,6,43,0,3,12695,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,31,683,0,12,3,0,56,2210,0,0,0,13,84,0,1,0,0,612,0,0,0,129,0,1,0,0,7927,188690,76,0,0,15928,0,740,73,0,0,4,0
Ecuador,ECU,0,0,0,0,11,0,0,0,16,0,2,118,208,0,5,0,0,10,0,278,12,0,14,0,115,3,0,753,0,0,0,2,0,8,4396,0,0,0,2,1149,0,8786,0,28,0,0,196,2,0,5,3,0,111,0,0,537,0,27,80,0,0,0,0,0,0,0,187,1,4,0,1,0,0,913,0,3,215,2,0,0,0,118,0,0,4,1,60,0,69,2,0,0,0,0,104,315,3,2,0,0,8,0,0,1,0,0,0,0,0,3,0,0,0,0,25,0,5,2,0,4,0,0,0,0,1,0,0,0,95,0,0,35,0,0,0,1,0,2,0,0,0,7,0,18,70,7,131,0,0,0,103,0,0,0,1455,0,21,1699,0,10,12,9,4,0,0,2,0,0,0,0,0,0,3,0,28,0,4,2,0,0,0,0,4,2748,0,1,5,0,661,510,0,0,0,2,0,0,9,0,0,14,0,15,0,0,0,0,0,0,3489,99076,188,0,0,19382,0,0,0,0,3,6,0
Egypt,EGY,3,2,272,3,5,5,0,6,1,0,0,29551,3971,0,13,1147,14,0,0,381,0,172,8,0,23,2,0,6445,0,33,9,0,0,0,17045,4,1,32,2,196,2,94,0,1813,7,0,15,471,3,14,716,12,723,7,0,7,32,0,8,3,31,0,500,0,0,6,10,18606,129,12,27,10,0,9577,2,1,1927,1,0,47,0,19,3,0,0,0,3,0,1174,0,462,2361,719,5043,30,15770,0,45,25456,0,3,0,0,0,111358,0,10,0,572,0,0,180526,0,0,21,0,4,26,587,3,0,0,3,0,50,2,0,0,0,21,0,29,0,0,239,1,204,3,32,10,2117,2,2,419,3,4,10952,0,0,1,186,9023,78,0,0,16,0,68,544,73,81,2,8462,1,0,3,0,2,6,0,0,347779,0,0,23,0,1,2,5,0,2,52,3208,0,4,2735,0,8,134,470,2540,0,0,4,1069,0,10,0,8,4,1314,1454,0,0,0,92,0,42028,24031,52431,38,0,1,484,3,0,0,5,1719,883,2410
El Salvador,SLV,0,0,0,0,0,0,0,2,0,0,2,848,8,0,8,0,0,0,0,69,1103,0,35,0,6,0,0,490,0,0,0,0,0,0,10793,0,0,0,0,203,0,165,0,2,0,0,5345,0,4,4,1,0,8,0,0,213,9,0,0,0,0,0,0,0,0,16,16,68,0,2,0,0,0,50,0,0,9,5,0,0,0,16884,0,2,12,1,9003,0,31,0,0,3,0,0,9,37,39,6,0,0,0,0,0,2,0,0,0,0,0,0,43,40,0,0,2,0,1,0,0,7,0,0,0,0,1,0,0,0,2122,3,0,3,0,0,0,0,4,0,5,0,0,5,17,36,1925,0,7,0,0,0,6,0,1,0,1721,8,7,6,9,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,0,1,0,0,34,238,0,0,0,0,28,369,0,0,0,0,18,0,0,0,1,11,2,0,0,0,0,0,0,0,758,105316,10,0,2,997,0,3,0,0,0,4,0
Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,23,0,108,0,0,0,0,0,2,0,0,0,5,0,2,63,3,0,40,16,0,0,0,0,2242,259,0,0,296,0,0,0,0,0,45,0,0,0,0,0,0,32,0,615,0,0,0,0,4,0,0,13473,12,0,37,0,0,7,0,0,0,0,0,2,0,0,0,0,0,5,0,24,0,0,0,2,186,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,3,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4846,0,0,0,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,368,0,0,0,2,0,0,0,0,0,0,54,5,0,0,1518,0,0,10,33,0,0,0,30,0,0,6,0,0,0,0,0,0,0,0,50,0,0,179,141,0,0,0,1,0,0,0,0,0,0,14
Eritrea,ERI,0,0,2,0,0,0,0,0,0,0,0,432,17,0,0,28,0,0,0,25,0,12,0,0,0,0,0,7,0,0,0,0,0,0,1743,0,0,476,2,0,0,1,0,27068,99,0,0,33,0,0,2,0,13,1619,0,0,0,397,0,45,0,0,230751,0,0,0,0,2,0,0,243,149,0,72,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,25,7,17,0,1,7705,0,6,28,0,772,0,0,0,93,0,0,0,7,0,0,11,0,0,1,0,0,384,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,92,0,0,44,0,0,1203,0,0,0,71,118,4,0,0,3,0,0,20,0,0,0,101,0,0,45,0,0,0,0,4,10669,0,0,1,0,0,0,0,0,0,466,20,0,0,151,0,0,366,66,217,0,0,3,40,0,0,0,0,0,11,0,0,0,0,14,0,1546,99,2592,0,0,0,4,0,0,0,0,0,6,59
Estonia,EST,0,3,0,0,1,0,0,0,102,0,0,5909,14,0,0,0,0,0,0,49,0,0,3,0,0,7,0,68,0,8,0,0,0,0,5731,0,0,0,0,21,0,10,0,1,1,0,0,0,41,2,15,101,156,0,0,0,1,4,0,0,0,0,0,0,0,2,6926,891,0,3,0,0,0,6285,0,0,17,0,0,0,0,0,3,0,0,0,0,0,865,2,4,0,0,0,38,206,0,0,7,0,0,0,0,2,0,0,0,6003,2,0,0,0,0,0,21,0,11,0,0,0,0,2,0,0,0,0,0,0,5,4,0,29,0,0,0,5,0,0,0,0,106,0,1,176,0,0,5,0,0,0,63,0,0,0,0,2,4,6,0,1157,3,0,23,15,78400,0,0,0,0,7,0,4,0,0,64,0,0,0,40,5,0,0,117,112,0,0,0,0,3032,79,3,0,0,0,0,0,1,0,2,0,0,26,0,0,0,0,10741,5,1149,22519,15,0,0,5,0,0,0,0,3,4,5
