Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Brazil,BRA,0,0,0,0,21,1,0,0,36424,0,21,4709,1936,0,42,18,0,3,0,1786,9,95,29,0,14708,10,39,0,0,34,0,0,3,3,13365,0,3,3,3,6877,16246,1968,0,146,0,0,408,36,111,2,28,116,1514,0,0,1159,1077,141,182,0,0,0,8,32,8,0,295,15717,10881,12,27,5,0,24428,0,8,790,1,1,24,1,149,154,0,1042,2,171,48,216,28,0,87,0,0,1215,28977,6,242246,105,0,0,0,1442,0,44,9,0,15,364,9,0,2,17,66,552,0,141,25,5,53,0,0,3,0,9,171,7,0,2347,0,0,45,24,0,0,229,28,46,0,0,8345,23,4,646,127,86,5544,0,0,0,1287,24,0,0,819,4,82987,2176,3984,225,48521,55,544,0,1,0,0,0,3,0,18,12,10,0,180,0,0,30,12,45,0,0,1241,26797,0,17,4917,16,3457,8999,5,933,0,7,3087,0,698,0,0,4,4,343,0,0,0,0,0,93,8853,225330,12950,0,0,4834,86,44,0,0,27,0,39
Brunei Darussalam,BRN,335,0,0,0,0,0,0,0,0,13,0,2036,3,0,0,1,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,4280,0,0,0,0,0,204,5,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,66,0,0,0,0,0,0,0,2,0,48,0,0,0,0,0,27,2,0,0,0,0,0,2,0,0,0,0,0,0,2308,0,0,30378,49,0,0,22,5,3,38,25,0,0,0,18,0,3,0,0,3,3,0,0,11,0,0,0,17,0,0,0,5007,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,21,539,0,0,243,0,0,0,0,0,2,21,0,1279,0,0,3,0,6,839,0,0,0,4,0,180,0,1,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,11,10,0,0,0,0,0,30,0,3,0,0,1756,1,0,0,0,0,1,16,0,0,0,0,122,0,0,65,0,0,0,1,87,0,0,0,338,0,0
Bulgaria,BGR,2,11,14,0,14,6,0,9,654,0,0,2547,5951,0,0,282,7,1,0,1085,8,8,3,0,16,650,34,282,0,0,5,0,10,0,9294,9,1,0,0,91,5,69,0,1,0,0,53,11,405,144,2794,4729,696,0,0,435,67,78,0,0,0,13,0,26,0,0,478,7946,3,0,0,0,0,20786,65,0,33726,0,0,9,1,4,8,2,0,0,5,40,3573,74,162,32,495,0,605,10434,2,21,50,0,0,0,0,0,1794,37,2,43,13982,0,0,668,4,33,165,0,2458,0,3,65,0,0,3,0,3,0,5,0,221,0,0,23,0,0,1,29,10,33,0,12,2028,4,1,499,81,5,44,0,0,0,804,830,19,0,69,1,3,50,1036,1914,840,22,20893,19786,5,0,0,0,0,0,0,7039,13,0,4792,0,2,20,1034,26,0,0,1662,21845,0,0,0,0,3469,1956,3096,0,0,0,1134,0,27,0,0,2,16,480716,0,0,0,0,2,10979,1378,36019,79,0,0,122,27,1,0,0,3292,4,24
Burkina Faso,BFA,34,0,0,0,1,0,0,1,0,0,0,30,48,0,0,0,67,0,0,78,0,5950,0,0,0,0,82,13,0,2,0,2,5,8,340,399,0,22,1,0,73,2,0,133,0,0,0,1252098,0,30,0,6,24,6,2,0,2,68,0,0,0,0,71,0,0,0,1,239,0,0,3358,27,0,1060,31964,0,3,0,0,224,0,0,1349,126,0,0,0,232,4,0,3078,0,0,0,5,4882,2,784,2,0,14,0,6,0,0,1,0,0,52,5,9,4,0,0,6,0,6,0,52,77,1,21397,0,0,151,662,0,2,2,0,0,2,0,0,0,52,0,3,0,37,210,0,0,3,0,27134,10356,0,0,0,11,0,194,0,1,0,0,6,0,3,0,17,78,0,0,6,0,0,0,0,0,0,9296,0,1,0,301,48,0,0,0,0,0,180,6,182,0,2,34,218,0,3,0,2,2,0,7540,0,0,1,3,0,0,0,0,5,0,0,619,1311,0,0,0,0,1,5,2,0,32,2,194
Burundi,BDI,6,0,0,0,0,0,0,0,0,0,0,27,37,0,0,0,12,0,0,592,0,19,0,0,1,0,2,8,0,2,2,0,0,1937,2293,0,0,4,401,0,4,1,23,10467,21,0,0,179,0,0,2,1,272,1821,0,4,0,48,0,27,820,0,5609,0,0,0,6,76,0,0,62,562,0,427,134,0,26,0,0,0,0,0,5,0,0,0,0,44,4,0,552,0,0,0,35,555,0,7,0,0,3973,0,0,0,0,1,0,1,0,2,0,1,0,0,31,0,2,23,109,14,0,0,0,0,0,0,0,547,2,0,0,0,0,0,0,21,0,1,0,7,723,0,0,47,0,21,552,0,0,0,59,0,35,0,1,0,0,0,0,3,0,0,0,0,0,34616,0,0,0,0,3,0,1,0,0,0,0,9,2,0,0,1572,907,31,0,51746,0,2,82,360,0,0,0,72272,0,0,0,0,0,0,0,3,0,0,0,16370,0,0,807,1333,0,0,0,0,0,0,0,0,0,1,190
Cambodia,KHM,1,0,0,2,17,0,0,0,0,0,1,22643,144,0,0,0,40,0,0,623,0,0,13,0,1,5,9,11,0,23,0,0,0,0,18476,0,0,0,2,4,179,7,0,19,0,2,2,0,0,0,0,16,127,0,0,144,7,7,0,0,0,0,1,0,0,29,95,7605,0,32,1,0,0,46299,18,0,6,0,0,2,26,0,0,0,0,0,0,49,5,2,3,888,0,0,7,293,15,1945,0,0,1,2,16,0,0,15,1352,0,0,0,0,1,5,0,23,17,73,1,0,170,0,0,0,0,1,0,1,0,2,2,0,22,0,0,0,3,282,0,0,95,548,2,235,4690,0,0,8,0,0,30,177,0,39,7,10,0,2,0,1408,23,0,6,0,0,2,7,0,0,1,0,0,0,0,0,14,0,0,297,3,0,2,0,0,29,0,14,0,0,321,1232,0,506,0,12,29620,0,2,0,7,0,0,7,0,0,0,0,0,0,14,140684,3,0,1,6,350,0,0,0,1,0,0
Cameroon,CMR,1,0,0,0,8,0,0,0,0,0,0,68,248,0,0,0,3,0,0,1755,0,2194,2,0,2,2,0,25,0,2,21,58,0,0,2322,4,0,1565,35126,6,3,9,2,1815,567,0,7,3754,0,5,26,6,168,150,0,4,15,139,0,1863,4,0,972,5,0,0,27,1353,48,0,23481,97,0,6556,1258,0,117,0,0,26,0,0,182,0,0,0,0,10,25,2,118,0,0,0,240,3479,0,28,1,0,328,0,0,0,0,1,0,0,0,2,0,4,0,0,87,0,34,8,53,3,0,602,0,0,39,416,0,45,5,0,0,12,0,0,0,20,0,1,0,1,1200,0,0,24,1,2650,16735,0,0,0,202,0,7,0,0,0,0,3,0,11,0,7,0,0,0,88,0,0,0,0,0,0,10,0,7,4,0,2,0,0,0,8,998,1275,0,4265,0,2,107,2070,0,0,0,37,0,0,60,0,0,0,3,16,0,0,0,124,0,0,3485,12885,0,0,0,4,0,0,0,0,0,9,196
Canada,CAN,69,2,1,2,14,4,10,243,1145,0,3,26989,1510,0,852,83,74,800,0,2394,443,102,2630,25,1674,659,275,1253,0,121,5,1,144,116,0,57,1554,14,23,1807,1222,790,10,597,1,5,1058,35,456,68,687,494,2723,7,103,4343,877,344,185,2,5,61,33,12,10,166,1254,31846,324,152,143,22,0,12239,19,8,5812,11,30,166,16,247,184,0,196,804,253,4330,582,195,6159,108,2,0,4055,6301,1308,9167,322,0,16,5,108,2486,113,16,0,67,98,27,68,308,5,59,302,72,402,149,13,984,3,0,318,16,143,56,85,2,5990,0,0,92,36,5,1,903,34,138,2,41,8254,171,45,7774,170,90,5844,0,0,3,2290,66,216,3,448,241,1082,491,1874,1666,8067,1394,146,6,2,217,4,202,14,0,2,32,4,0,4570,18,0,1260,114,161,9,10,2410,3074,2,211,12,80,2255,5302,14,159,0,266,1435,0,745,0,5,102,17,1422,0,181,0,283,0,237,76106,950549,372,0,8,965,61,172,115,1,69,265,345
Cape Verde,CPV,2,0,0,0,13,6780,0,0,0,24,0,21,25,0,0,0,4,0,0,826,0,114,6,0,2,6,388,24,0,0,7,7,0,23,316,0,0,2,4,0,2,7,0,360,0,0,0,438,0,0,0,13,17,19,0,4,0,0,0,0,0,0,193,2,0,0,6,3459,1,0,299,72,0,11295,0,0,19,0,0,0,0,0,67,190,0,0,0,15,13,37,189,0,0,0,10,5054,0,7,0,0,41,0,0,0,0,0,0,1,3,15,0,44,0,0,2389,0,87,2,177,5,0,0,0,0,0,4,2,6,3,0,0,30,0,0,0,17363,0,10,0,2,10629,0,0,3,0,82,2842,0,0,0,239,9,12,0,1,0,0,0,11,0,43032,0,5,0,320,17,0,0,0,0,3607,0,3,0,18,2,0,3,0,0,0,1,0,1841,0,528,0,7,291,1023,0,0,0,5,20,0,48,0,0,0,0,0,0,0,0,15,216,57,8952,27182,0,0,0,4,0,0,0,0,2,5,658
Cayman Islands,CYM,0,0,0,0,0,0,4,0,0,0,2,3,0,0,11,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,14,0,0,0,0,6,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,9,0,2,10,0,0,0,0,0,2,65,0,0,0,0,0,0,0,30,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,12,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,10,1012,0,0,0,2,0,13,0,0,0,0,0
