Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Afghanistan,AFG,0,0,10,0,5,0,0,0,21,0,0,2637,267,0,0,22519,144,0,0,229,0,0,0,0,2,2,0,47,0,178,0,0,0,0,1539,0,0,0,0,0,8,1,0,3,0,0,16,0,11,0,25,19,384,0,0,5,0,177,0,0,0,0,0,14,0,8,4,51,0,1,0,0,0,15875,6,0,226,0,0,0,6,0,0,0,0,0,1,32,86,2,13755,19,680274,69,15,1522,0,126,64,0,38,0,1,2,93561,0,0,0,45698,0,0,844,0,0,25,4,25,3,0,65,5,0,2,2,0,1,0,0,0,0,0,7,0,0,10,0,6,0,3,1,0,0,2,270,21,0,0,0,0,7,256,780,18015,2,30,15,0,9,35,97,0,0,76302,0,0,0,0,0,0,0,0,11782,0,0,1,0,1,24,3,0,3,0,0,148,96,8,0,0,353,519,6975,0,2088,7,175,0,0,0,4,0,119,7136,0,0,0,1,0,15383,14,30146,0,0,1,11,0,0,0,0,2434,0,1
Albania,ALB,3,0,4,0,117,0,0,0,147,0,0,951,1351,0,0,2,2,0,0,591,0,7,2,0,4,956,0,7,0,91,0,0,0,10,456,12,0,19,0,22,1,1,0,294,31,0,1,22,25,42,3,96,6,0,0,19,0,0,0,0,0,0,13,0,0,0,8,33,0,0,14,6,0,1758,14,0,50727,0,0,4,0,4,10,0,0,0,2,14,386,13,369,36,5,2,15,42821,0,5,372,0,2,0,0,2,15,0,2,0,38,0,0,1,2,0,271,0,1847,15,0,10,0,0,0,0,1,0,0,0,44,0,0,79,0,0,0,1,12,2,0,3,0,0,0,23,25,26,42,0,0,0,21,5,9,0,10,0,0,22,485,74,0,0,64,676,0,23,0,0,0,0,0,52,5,0,1104,0,2,5,17,15,0,0,173,2,0,5,0,0,16,88828,19,0,0,3,353,0,42,0,0,1,4,139,0,0,0,3,3343,51,166,5844,0,0,0,0,2,0,0,0,20,0,6
Algeria,DZA,33,0,0,0,195,2,0,9,231,0,0,648,251,0,2,0,95,5,0,11551,0,108,0,0,3,267,13,299,0,35,56,2,1,4,3038,0,0,7,0,45,3,19,0,180,2,0,28,58,21,82,300,26,627,4,5,65,3,4226,3,0,12,0,76,0,0,0,238,1375771,1208,605,4,6,0,6947,444,2,304,0,1,1931,0,2,23,0,0,3,2,0,308,59,4359,59,2,256,899,5870,0,63,141,0,2,0,0,7,236,0,3,0,173,2,0,5207,2,0,2910,0,2522,4373,175,57,1,425,2,0,831,1558,1,0,41,0,0,847,0,4,14454,35,20,8,1,53,2020,64,852,29,39,507,3205,0,0,0,457,14,378,0,23,5,5,21,911,283,76,1,289,0,0,0,0,17,0,0,0,119,7,0,165,37,20,29,4,0,0,19,1739,6984,4,530,0,4,6109,6749,12,0,0,3,548,0,5,0,0,16,16819,2366,0,0,0,41,0,116,5592,5577,3,0,0,33,4,30,6,0,2156,6,692
American Samoa,ASM,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,4,0,0,4,0,0,10,3,0,0,0,0,0,0,0,0,0,184,0,0,0,0,101,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,31,0,0,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,9,11,2,0,0,0,0,0,0,0,0,0,1870,0,0,2,0,0,0,0,0,5,0,0
Andorra,AND,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,17,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,4,0,0,0,7,0,0,0,45,0,0,322,134,0,1,0,12,0,0,525,0,38,0,0,7,30,533,4835,0,2,0,8,0,158,917,1902,1,44,3,7,0,12,0,482,9170,0,3,21,5,0,66,6,58,13,0,16,31,0,0,0,12,0,201,0,0,0,7,245,218,0,348,15,0,720,0,0,139,0,0,6,0,0,2,0,0,0,0,0,40,7,558,73,0,0,95,2584,0,0,0,0,11,0,0,1,0,0,3,0,0,72,0,0,0,0,325,0,282,2,5352,5,0,0,0,0,5,0,51,2,3,0,0,95,0,0,0,1200,25,54519,0,7,0,0,0,12,7,35,1143,0,0,0,31,0,48,0,5,0,58,32,677,17,139439,0,0,0,0,2,0,0,0,0,988,0,0,0,18,5,0,3,0,0,0,18,5868,2540,0,387,0,132,644,230,0,0,0,16,674,0,2,0,0,0,0,0,0,0,0,9,0,0,484,3194,35,0,0,582,3,0,0,0,0,25172,54
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,9,205,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,7,87,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,0,0,0,0,4,815,0,0,0,0,0,1603,1,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,66,0,0,0,32,17,0,0,16,0,0,35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1925,0,1,0,0,13,0,0,0,0,0,0,0,0,0,75,0,0,0,0,196,393,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,22,308,0,0,0,0,10,44,0,0,4,0,0,143,0,0,0,0,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,176,0,0,49,0,0,0,0,229,0,3,0,1,8,0,0,0,3,0,0,0,10,0,0,21,67,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,0,2,0,0,90,0,0,0,14,0,0,0,0,8,13281,0,0,0,0,0,7744,461,0,3,0,0
Argentina,ARG,0,0,0,0,12,1,1,2,0,0,53,10299,364,0,8,27,0,13,0,533,0,6,0,0,17463,14,11,28161,0,10,0,0,0,2,9645,0,6,1,2,32548,123,2142,0,19,0,0,656,39,170,132,64,28,903,0,0,2291,1661,103,146,0,0,0,0,7,29,0,117,9508,45,14,2,0,0,3561,0,0,516,1,3,7,4,275,4,0,17,6,86,5,181,5,17,19,0,6,77,34358,0,2666,1,0,13,0,22,5,39,0,0,0,32,47,0,3,5,0,151,0,139,4,5,17,0,0,0,0,7,65,2,0,4417,0,0,44,0,2,0,59,6,37,5,0,1800,102,6,231,142,44,368,0,0,0,453,14,0,0,615,6,47261,4386,43,112,856,1252,54,0,0,3,0,0,3,0,0,9,18,0,236,0,11,9,5,92,0,0,972,52801,0,8,243,2,2156,1876,3,3,0,2,173,0,75,0,3,37,8,503,0,2,0,0,0,45,4574,106364,18724,0,5,9580,0,9,0,0,58,0,61
Armenia,ARM,0,6,0,0,3,0,0,0,90,0,0,375,181,137027,0,21,0,0,2912,62,0,3,0,0,3,2,3,284,0,908,0,2,0,0,1652,0,0,10,52,20,19,13,4,1230,408,0,2,21,2,0,348,260,127,8,0,5,10,7,0,2,7,758,54,1,0,1,24,51,2,0,3,26,37742,11517,5,0,3459,0,0,0,0,0,21,0,0,0,0,255,813,2,62,84,2,51,4,47,0,30,17,10756,718,0,3,15,89,1701,6,1399,37,4,0,33,0,895,25,33,24,13,0,0,0,8,17,0,0,4,5,2,94,0,1318,7,0,0,0,44,29,1,0,0,28,0,0,10,0,25,87,0,0,1,8,0,2,0,2,0,24,2,28,1348,3,0,61,3,151484,18,0,0,0,9,0,18,0,0,1,10,1,0,45,0,0,11,67,108,2,297,0,0,99,156,7,0,2302,161,847,0,41,0,0,0,5,223,4436,0,0,59,36498,15,752,32487,65,12280,0,389,0,0,0,0,1671,3,12
Aruba,ABW,0,0,0,0,0,0,10,7,1,0,0,33,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,68,0,0,0,0,9,0,0,25,0,0,5,0,20,340,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,17,0,0,0,0,8,19,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3906,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,30,0,0,0,5,0,0,0,0,146,4108,1,0,0,0,0,235,11,0,0,0,0
Australia,AUS,22,1,1,6,6,13,0,7,629,0,0,0,970,0,28,258,26,25,0,468,0,6,1,13,54,108,116,295,262,11,3,0,63,0,15666,0,35,0,18,673,300,226,7,96,3,47,46,41,705,42,1168,202,1064,2,3,64,12,239,18,0,0,0,4,7,8,1310,439,3829,4,51,5,2,0,4638,3,1,15557,0,0,19,33,78,7,6,0,2,8,1804,4,211,3027,144,5,2,2157,7632,512,3683,121,0,0,150,54,229,501,0,19,0,209,0,0,6,2,0,248,236,2216,10,25,1842,1,1,247,4,2,1,53,0,102,10,0,72,0,4,1,181,50,0,331,14,8131,40,177,51217,19,60,429,0,412,3,810,90,104,0,115,11271,47,206,1091,396,856,0,348,2,0,24,2,5,167,0,0,59,0,0,1941,94,13,927,35,225,457,1,3387,2022,577,53,0,4,1175,1479,21,8,0,44,825,158,79,0,24,10,15,2876,0,0,58,0,0,673,74195,54050,13,0,419,342,13,1,10,1,331,82,547
Austria,AUT,3,5,29,3,76,21,0,2,4915,0,0,20980,0,0,16,9,2,2,0,1425,0,6,29,6,130,6214,22,4724,0,30,2,0,2,0,35357,10,22,3,0,592,20,205,0,29,0,3,50,19,1288,4,24,853,1385,0,0,832,105,632,4,0,0,0,1,0,0,2,238,12583,28,56,0,0,0,151101,40,8,2845,2,0,19,14,27,9,2,2,0,9,41,1689,10,404,58,20,14,61,15730,0,367,50,0,0,0,4,7,112,0,3,0,389,1,0,30,2095,0,481,0,2667,2,16,30,0,0,5,0,5,0,9,0,376,0,0,61,0,0,2,100,20,123,1,3,6878,1,8,1204,42,22,36,0,0,1,1011,19,9,0,58,115,38,223,123,3010,247,3,649,834,0,0,0,0,0,0,0,219,14,0,16607,5,6,15,147,4444,2,0,2387,1905,0,0,0,7,6555,31607,79,0,0,0,567,0,36,0,10,5,30,6898,0,0,0,1,0,214,20978,97915,120,0,1,1037,0,4,2,0,159,22,230
Azerbaijan,AZE,0,0,0,0,0,0,0,0,1,125123,0,629,13,0,0,255,0,0,11153,4,0,1,0,0,0,0,1,4,0,25,0,3,0,0,970,0,0,4,85,3,28,11,6,533,177,0,0,9,3,6,475,356,28,14,0,0,0,0,0,0,11,2343,23,0,0,0,11,7,0,0,1,11,16573,1305,9,0,47,0,0,1,0,0,9,0,0,0,0,408,123,0,100,36,20,1073,3,17,0,13,3,40361,1166,0,5,25,1060,3548,3,4827,703,2,0,5,0,2407,3,52,3,6,0,0,0,13,3,0,0,2,2,3,51,0,3703,0,0,0,0,19,12,0,0,0,47,2,0,6,0,11,38,0,0,0,7,9,3,0,0,0,0,4,12,432,0,3,1174,4,478594,8,0,0,0,0,0,218,1,0,0,4,2,0,62,0,0,17,108,6,0,482,0,1,55,39,79,0,4337,262,366,0,18,0,0,0,0,4703,19916,0,0,96,84629,174,87,17434,1,26989,0,8,0,0,0,0,35291,5,20
