Origin Countries,State Code,AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,YEM,ZMB,ZWE
Bahamas,BHS,0,0,0,0,0,0,6,5,0,0,3,173,0,0,0,0,0,57,0,0,0,0,299,0,6,0,0,0,0,0,0,0,0,0,1101,0,79,0,0,1,1,5,0,0,0,0,7,0,0,7,0,0,6,0,5,134,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,33,0,0,1,0,17,27,0,0,0,0,0,639,2,0,4,0,0,0,0,0,0,2,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,59,0,0,0,0,0,0,7,0,0,0,13,0,0,9,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,850,0,0,0,0,28,25867,0,0,0,0,0,14,13,0,0,0,0
Bahrain,BHR,0,0,6,0,0,0,0,0,28,0,0,476,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,2,0,0,0,0,254,0,2,0,0,3,0,0,0,118,4,0,0,0,1,0,3,2,72,0,0,18,0,1330,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,114,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,313,6,6,0,12,0,6,92,0,3,0,0,0,3150,0,0,0,125,0,0,287,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,108,0,0,0,0,0,0,14,0,0,0,0,0,0,6,70,0,0,0,0,0,4,124,0,0,0,208,0,0,3,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,10,25,0,0,0,2919,0,0,0,0,0,0,26,0,0,0,0,0,163,22,1465,0,0,0,3,2,0,0,0,200,0,3
Bangladesh,BGD,31302,0,0,0,4,2,0,1,0,0,0,2237,760,0,0,7980,0,0,0,208,0,0,0,26,4,19,23,11,663,138,10,0,35,0,2277,0,3,0,3,0,181,0,0,67,2,0,8,1,9,0,20,15,265,0,0,3,0,8,0,0,0,0,3,0,0,172,108,401,0,1,0,1,0,4103,287,0,206,0,0,0,6,0,0,0,0,0,0,11,84,16,4250287,298,613,1,123,5134,17,3855,631,0,36,0,33,4,33157,0,1,0,6423,29,7,36,0,0,196,53,193,38,2,37871,1437,4,2,5,0,8,18,0,30,0,0,57,1,0,0,37,1855,10,2,575,0,1,2,72,0,1,4,0,0,7,566,69525,60930,2,0,14,0,6,145,27,0,1,10724,0,0,0,0,0,0,0,0,338332,15,0,12,7,49,14569,3,0,3,1,2,1171,4533,11,0,2,2801,235,2458,9,0,9,917,12,2,0,3,0,5,5,0,0,0,52,0,35862,107183,23029,0,0,1,3,170,0,0,0,41,15,48
Barbados,BRB,0,0,0,0,0,0,48,215,17,0,24,291,1,0,247,0,0,0,0,2,0,0,272,0,6,8,0,9,0,0,0,0,0,0,15905,0,88,0,0,22,1,5,0,2,0,0,5,2,0,56,0,0,21,0,67,40,2,0,38,0,0,0,0,7,0,2,8,199,172,0,0,0,0,102,0,0,4,0,101,222,0,9,0,0,205,33,54,0,11,1,3,0,0,0,14,7,450,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,40,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,0,21,0,0,0,0,0,0,0,169,0,259,16,3,23,0,0,0,9,0,0,0,518,2,0,16,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,5,0,0,2403,0,0,0,11,0,0,0,0,22575,45699,2,0,0,241,0,425,96,0,0,0,0
Belarus,BLR,2,8,8,0,0,0,0,0,12,2297,0,252,0,7840,0,0,3,0,0,14,0,1,6,0,0,2,0,9,0,110,2,0,1,0,3944,0,0,0,0,6,17,8,0,20,37,0,2,13,222,0,789,27582,51,0,0,8,0,77,0,0,0,25299,0,0,0,0,41,0,0,0,0,0,9654,2679,9,0,157,0,0,0,0,0,16,0,0,0,0,237,4222,0,279,0,0,1,49,646,0,24,0,136939,0,0,3,41,0,10056,0,116621,3,0,0,188,0,88093,7,4,6,1,0,12,0,36,2,0,0,3,2,0,52,0,15640,2,0,0,0,13,0,2,0,4,8,0,0,10,0,15,26,0,0,0,13,0,11,0,3,0,0,4,0,177096,0,0,5,417,1408619,0,0,0,0,2,0,2,3,0,2,3,6,6,4768,93,0,0,50,29,1,0,0,0,132,486,0,0,7977,0,3,0,24,0,0,0,8,57,9630,0,0,0,419031,2,60,17767,2,27169,0,0,0,0,0,0,8,0,4
Belgium,BEL,0,1,37,0,44,27,0,2,1151,0,0,4464,787,0,8,5,0,1,0,0,0,2,9,2,196,357,35,1875,0,14,1,3,1,430,27051,0,6,59,39,1008,21,303,6,41965,389,0,126,24,195,2,4,126,789,11,0,423,25,593,51,62,30,0,1834,25,1,0,137,127747,6,4,156,869,0,17886,5,17,4216,0,0,10,3,32,39,0,0,0,10,28,344,23,135,39,10,3,506,14125,0,410,21,0,42,0,4,5,83,0,2,0,260,42,3,44,11,0,10535,0,590,115,20,21,0,0,1,0,3,60,15,2,640,0,0,131,0,0,3,157,13,193,0,0,42027,0,3,345,41,29,50,0,0,0,793,10,3,0,28,20,8,369,98,1784,1294,2,434,313,0,2255,0,0,0,760,15,113,2,0,393,72,0,10,22,249,0,45,3487,18360,0,420,0,9,26,6441,41,0,0,217,380,0,47,0,2,3,38,4648,0,0,0,69,0,111,16661,42029,29,0,0,523,0,2,0,0,32,29,152
Belize,BLZ,0,0,0,0,0,0,3,8,13,0,3,0,0,0,33,0,0,9,0,0,0,0,0,0,715,2,0,11,0,0,0,0,0,0,1239,0,151,0,0,16,0,3,0,0,0,0,127,0,1,7,0,0,5,0,0,85,3,0,139,0,0,0,0,0,0,0,1,48,214,0,0,0,0,3,0,0,1,0,2,10,0,524,0,0,0,4,58,0,11,0,2,0,0,0,5,0,422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,2,0,0,0,0,0,0,0,0,1241,0,0,3,0,3,0,0,0,0,0,0,0,4,0,7,46,0,4,0,0,0,0,0,0,0,84,0,0,11,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,7,0,40,1,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,1225,34390,3,0,0,0,0,18,3,0,0,0,0
Benin,BEN,2,0,0,0,1,0,0,0,0,0,0,6,28,0,0,0,4,0,0,109,0,0,0,0,0,1,0,0,0,1,5884,24,0,65,35,30,0,147,10,0,0,0,0,1495,3866,0,0,47750,2,0,25,2,16,39,0,16,0,0,0,2,118,0,623,0,0,0,1,9931,0,0,16440,174,0,290,2631,0,29,0,0,9,0,0,493,8,0,0,0,0,14,0,203,0,0,0,3,535,0,4,2,0,33,0,0,0,0,0,0,0,0,0,226,1,0,0,12,0,10,7,5,2,0,1406,0,0,4,528,0,7,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,14741,94128,0,0,0,11,0,18,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,592,0,0,0,248,0,0,0,0,181,8,92,0,1163,0,0,23,46,0,0,0,48,0,0,62534,0,0,0,1,0,0,0,0,27,0,0,18,387,0,0,0,0,0,0,0,0,0,0,20
Bermuda,BMU,0,0,0,0,0,0,0,10,0,0,0,340,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,15,0,0,20,0,0,0,0,0,0,3,0,0,10,0,0,10,0,1,13,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15471,0,0,0,0,0,33,8,0,0,0,0
Bhutan,BTN,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,23,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10771,0,0,0,0,7,0,11,3,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,1,0,0,0,0,0,0,5,0,496,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,0,0,0,0,2,0,0,0,149439,0,4,493,50,0,0,1,0,0,0,73,0,0,0,0,0,1,1,15889,0,1,0,0,0,3,1292,0,2,0,2,7247,20,648,0,2,0,0,169,0,2,20,6,2,66,0,0,313,874,2,42,0,0,0,0,7,0,0,24,0,52,0,0,0,0,1267,0,0,1,0,0,0,0,50,0,0,20,0,22,1,55,0,10,16,0,0,7,108,0,426,7,0,14,0,4,2,2,0,0,0,1,4,0,0,0,0,14,0,12,0,0,11,0,0,0,0,0,0,0,0,1333,0,0,4,0,0,0,5,6,3,0,0,0,7,0,10,37,0,5,0,0,0,119,0,0,0,216,0,757,3402,127,16,38,11,2,0,0,0,0,0,0,0,0,0,5,0,5,0,3,5,0,3,0,0,5,889,0,9,12,0,1805,275,0,2,0,2,152,0,1,0,0,3,0,5,0,0,0,0,0,2,405,34385,996,0,0,2367,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,9,49,1,2,67,2,0,0,91,0,0,20532,102798,0,0,1,7,0,0,1442,0,6,11,0,0,0,10,39,0,20,3,0,2,34,17920,9,0,1,3,7,4,3,0,2,0,2,0,17,317969,0,557,19459,7051,0,0,5,1,0,0,0,0,0,0,1,0,2,55,23613,0,0,0,0,0,107502,46,0,237,0,0,0,10,0,8,2,0,0,0,47,12032,34,1254,0,3,2,76,10193,0,19,207,0,6,0,0,8,18,0,0,0,177,0,0,0,100,0,362,0,5470,0,1,34,0,1,7,0,0,0,0,0,16,0,0,91,0,0,0,6,0,7,0,10,170,0,6,225,0,20,32,0,0,1,3,3,29,0,4,0,0,16,0,11353,58,0,296,298,0,0,0,0,0,96,0,34,16,0,110,0,7,17,3364,70405,1,0,129,253,0,17,0,0,19042,20023,12,0,0,10,2,0,33,0,7,0,1,2932,0,0,0,12,0,33,4777,43775,6,0,1,29,0,0,0,0,21,2,14
